Adjusted for Inflation Flag,Format,Format (copy),Metric,Year,Year Date,Format Value # (Billion),Format Value # (Million),Number of Records,Value (Actual),Value (Actual) (copy),Year (copy)
,Vinyl Single,Vinyl Single,Units,1999,1999,,$5.3M,1,5.3,$5M,1999
,Vinyl Single,Vinyl Single,Units,2000,2000,,$4.8M,1,4.8,$5M,2000
,Vinyl Single,Vinyl Single,Units,2001,2001,,$5.5M,1,5.5,$6M,2001
,Vinyl Single,Vinyl Single,Units,2002,2002,,$4.4M,1,4.4,$4M,2002
,Vinyl Single,Vinyl Single,Units,2003,2003,,$3.8M,1,3.8,$4M,2003
,Vinyl Single,Vinyl Single,Units,2004,2004,,$3.5M,1,3.5,$4M,2004
,Vinyl Single,Vinyl Single,Units,2005,2005,,$2.3M,1,2.3,$2M,2005
,Vinyl Single,Vinyl Single,Units,2006,2006,,$1.5M,1,1.5,$2M,2006
,Vinyl Single,Vinyl Single,Units,2007,2007,,$0.6M,1,0.6,$1M,2007
,Vinyl Single,Vinyl Single,Units,2008,2008,,$0.4M,1,0.4,$0M,2008
,Vinyl Single,Vinyl Single,Units,2009,2009,,$0.3M,1,0.3,$0M,2009
,Vinyl Single,Vinyl Single,Units,2010,2010,,$0.3M,1,0.3,$0M,2010
,Vinyl Single,Vinyl Single,Units,2011,2011,,$0.4M,1,0.4,$0M,2011
,Vinyl Single,Vinyl Single,Units,2012,2012,,$0.4M,1,0.388573687,$0M,2012
,Vinyl Single,Vinyl Single,Units,2013,2013,,$0.3M,1,0.315817054,$0M,2013
,Vinyl Single,Vinyl Single,Units,2014,2014,,$0.5M,1,0.481198278,$0M,2014
,Vinyl Single,Vinyl Single,Units,2015,2015,,$0.5M,1,0.50786991,$1M,2015
,Vinyl Single,Vinyl Single,Units,2016,2016,,$0.4M,1,0.404330651,$0M,2016
,Vinyl Single,Vinyl Single,Units,2017,2017,,$0.4M,1,0.402959365,$0M,2017
,Vinyl Single,Vinyl Single,Units,2018,2018,,$0.3M,1,0.346165002,$0M,2018
,Vinyl Single,Vinyl Single,Units,2019,2019,,$0.3M,1,0.336120488,$0M,2019
,8 - Track,8 - Track,Units,1973,1973,,$91.0M,1,91,$91M,1973
,8 - Track,8 - Track,Units,1974,1974,,$96.7M,1,96.7,$97M,1974
,8 - Track,8 - Track,Units,1975,1975,,$94.6M,1,94.6,$95M,1975
