Format,Metric,Year,Actual_Value,Mode
Download Album,Units,2017,66.38610376300001,Digital
Download Album,Units,2018,49.734924535,Digital
Download Album,Units,2019,40.202712338000005,Digital
Kiosk,Units,2005,0.7,Digital
Kiosk,Units,2006,1.4,Digital
Kiosk,Units,2007,1.8,Digital
Kiosk,Units,2008,1.6,Digital
Kiosk,Units,2009,1.7,Digital
Kiosk,Units,2010,1.7,Digital
Kiosk,Units,2011,1.3,Digital
Kiosk,Units,2012,1.95507,Digital
Kiosk,Units,2013,3.7442,Digital
Kiosk,Units,2014,1.5920733580000002,Digital
Kiosk,Units,2015,2.202659889,Digital
Kiosk,Units,2016,1.74878121,Digital
Kiosk,Units,2017,1.322377717,Digital
Kiosk,Units,2018,1.097856529,Digital
Kiosk,Units,2019,0.899703865,Digital
Download Music Video,Units,2005,1.9,Digital
Download Music Video,Units,2006,9.9,Digital
Download Music Video,Units,2007,14.2,Digital
Download Music Video,Units,2008,20.8,Digital
Download Music Video,Units,2009,20.5,Digital
Download Music Video,Units,2010,18.4,Digital
Download Music Video,Units,2011,16.3,Digital
Download Music Video,Units,2012,10.473489,Digital
Download Music Video,Units,2013,8.412464,Digital
Download Music Video,Units,2014,6.82264392,Digital
Download Music Video,Units,2015,3.223325002,Digital
Download Music Video,Units,2016,2.145427196,Digital
Download Music Video,Units,2017,1.3998896930000002,Digital
Download Music Video,Units,2018,1.1159852259999998,Digital
Download Music Video,Units,2019,0.93412583,Digital
Ringtones & Ringbacks,Units,2005,170.0,Digital
Ringtones & Ringbacks,Units,2006,315.0,Digital
Ringtones & Ringbacks,Units,2007,433.8,Digital
Ringtones & Ringbacks,Units,2008,405.1,Digital
Ringtones & Ringbacks,Units,2009,294.3,Digital
Ringtones & Ringbacks,Units,2010,188.5,Digital
Ringtones & Ringbacks,Units,2011,115.4,Digital
Ringtones & Ringbacks,Units,2012,58.75740355600001,Digital
Ringtones & Ringbacks,Units,2013,39.366235778000004,Digital
Ringtones & Ringbacks,Units,2014,26.632323683000003,Digital
Ringtones & Ringbacks,Units,2015,21.924866054000002,Digital
Ringtones & Ringbacks,Units,2016,22.620785392,Digital
Ringtones & Ringbacks,Units,2017,14.262869940999998,Digital
Ringtones & Ringbacks,Units,2018,10.026286725,Digital
Ringtones & Ringbacks,Units,2019,8.605769716000001,Digital
Paid Subscriptions,Units,2005,1.3,Streaming
Paid Subscriptions,Units,2006,1.7,Streaming
Paid Subscriptions,Units,2007,1.8,Streaming
Paid Subscriptions,Units,2008,1.6,Streaming
Paid Subscriptions,Units,2009,1.2,Streaming
Paid Subscriptions,Units,2010,1.5,Streaming
Paid Subscriptions,Units,2011,1.8,Streaming
Paid Subscriptions,Units,2012,3.36,Streaming
Paid Subscriptions,Units,2013,6.16,Streaming
Paid Subscriptions,Units,2014,7.73,Streaming
Paid Subscriptions,Units,2015,10.84,Streaming
Paid Subscriptions,Units,2016,22.68,Streaming
Paid Subscriptions,Units,2017,35.273501216,Streaming
Paid Subscriptions,Units,2018,46.91132324,Streaming
Paid Subscriptions,Units,2019,60.381947607,Streaming
8 - Track,Value (Adjusted),1973,2815.6818243240004,Analog
8 - Track,Value (Adjusted),1974,2848.008608519,Analog
8 - Track,Value (Adjusted),1975,2770.409498141,Analog
8 - Track,Value (Adjusted),1976,3047.2157715290004,Analog
8 - Track,Value (Adjusted),1977,3421.4162871290005,Analog
8 - Track,Value (Adjusted),1978,3717.221411043,Analog
8 - Track,Value (Adjusted),1979,2409.725690083,Analog
8 - Track,Value (Adjusted),1980,1635.087851942,Analog
8 - Track,Value (Adjusted),1981,880.315082508,Analog
8 - Track,Value (Adjusted),1982,95.374632124,Analog
CD,Value (Adjusted),1983,44.14960241,Digital
CD,Value (Adjusted),1984,254.180636189,Digital
CD,Value (Adjusted),1985,925.449828067,Digital
CD,Value (Adjusted),1986,2169.585544708,Digital
CD,Value (Adjusted),1987,3586.399605634,Digital
CD,Value (Adjusted),1988,4516.462927303,Digital
CD,Value (Adjusted),1989,5335.190475,Digital
CD,Value (Adjusted),1990,6751.53558684,Digital
CD,Value (Adjusted),1991,8142.168640969,Digital
CD,Value (Adjusted),1992,9706.037138275,Digital
CD,Value (Adjusted),1993,11520.311348096999,Digital
CD,Value (Adjusted),1994,14601.947884615,Digital
CD,Value (Adjusted),1995,15730.957688976001,Digital
CD,Value (Adjusted),1996,16187.862319312,Digital
CD,Value (Adjusted),1997,15793.549661682,Digital
CD,Value (Adjusted),1998,17905.400687117,Digital
CD,Value (Adjusted),1999,19667.327785714,Digital
CD,Value (Adjusted),2000,19618.928144599,Digital
CD,Value (Adjusted),2001,18635.67744664,Digital
CD,Value (Adjusted),2002,17115.944823235,Digital
CD,Value (Adjusted),2003,15607.443017935,Digital
CD,Value (Adjusted),2004,15491.677345156,Digital
CD,Value (Adjusted),2005,13771.442761905,Digital
CD,Value (Adjusted),2006,11885.767848213998,Digital
CD,Value (Adjusted),2007,9190.702658466,Digital
CD,Value (Adjusted),2008,6496.779627316,Digital
CD,Value (Adjusted),2009,5146.5782200740005,Digital
CD,Value (Adjusted),2010,3973.859172873,Digital
CD,Value (Adjusted),2011,3524.136143132,Digital
CD,Value (Adjusted),2012,2767.7761488720002,Digital
CD,Value (Adjusted),2013,2349.534897314,Digital
CD,Value (Adjusted),2014,1918.215114615,Digital
CD,Value (Adjusted),2015,1558.6334519379998,Digital
CD,Value (Adjusted),2016,1204.497778348,Digital
CD,Value (Adjusted),2017,1102.77435245,Digital
CD,Value (Adjusted),2018,711.041239463,Digital
CD,Value (Adjusted),2019,614.509779894,Digital
CD Single,Value (Adjusted),1988,21.178686391,Digital
CD Single,Value (Adjusted),1989,-1.443225,Digital
CD Single,Value (Adjusted),1990,11.736358072,Digital
CD Single,Value (Adjusted),1991,65.885174009,Digital
CD Single,Value (Adjusted),1992,82.181972202,Digital
CD Single,Value (Adjusted),1993,81.031768858,Digital
CD Single,Value (Adjusted),1994,96.77704251,Digital
